subject,menu,choice
random00,"a,b",a
random00,"b,c",b
random00,"a,c",c
random00,"a,b,c",a
random00,"a,b",a
random00,"b,c",b
random00,"a,c",c
random00,"a,b,c",b
random00,"a,b",a
random00,"b,c",b
random00,"a,c",c
random00,"a,b,c",c
random00,"a,b",a
random00,"b,c",b
random00,"a,c",c
random00,"a,b,c",c
random00,"a,b",a
random00,"b,c",b
random00,"a,c",c
random00,"a,b,c",c
random01,"a,b",a
random01,"b,c",b
random01,"a,c",c
random01,"a,b,c",a
random01,"a,b",a
random01,"b,c",b
random01,"a,c",a
random01,"a,b,c",b
random01,"a,b",a
random01,"b,c",b
random01,"a,c",a
random01,"a,b,c",c
random01,"a,b",a
random01,"b,c",b
random01,"a,c",c
random01,"a,b,c",c
random01,"a,b",a
random01,"b,c",b
random01,"a,c",a
random01,"a,b,c",c
random02,"a,b",b
random02,"b,c",b
random02,"a,c",c
random02,"a,b,c",a
random02,"a,b",b
random02,"b,c",b
random02,"a,c",a
random02,"a,b,c",b
random02,"a,b",a
random02,"b,c",b
random02,"a,c",a
random02,"a,b,c",c
random02,"a,b",a
random02,"b,c",b
random02,"a,c",a
random02,"a,b,c",c
random02,"a,b",a
random02,"b,c",b
random02,"a,c",a
random02,"a,b,c",c
random03,"a,b",b
random03,"b,c",b
random03,"a,c",a
random03,"a,b,c",a
random03,"a,b",b
random03,"b,c",b
random03,"a,c",a
random03,"a,b,c",b
random03,"a,b",a
random03,"b,c",b
random03,"a,c",a
random03,"a,b,c",c
random03,"a,b",a
random03,"b,c",b
random03,"a,c",a
random03,"a,b,c",c
random03,"a,b",a
random03,"b,c",b
random03,"a,c",a
random03,"a,b,c",c
random04,"a,b",b
random04,"b,c",b
random04,"a,c",a
random04,"a,b,c",a
random04,"a,b",b
random04,"b,c",b
random04,"a,c",a
random04,"a,b,c",b
random04,"a,b",a
random04,"b,c",b
random04,"a,c",a
random04,"a,b,c",b
random04,"a,b",a
random04,"b,c",b
random04,"a,c",a
random04,"a,b,c",a
random04,"a,b",a
random04,"b,c",b
random04,"a,c",a
random04,"a,b,c",b
random05,"a,b",b
random05,"b,c",b
random05,"a,c",a
random05,"a,b,c",a
random05,"a,b",b
random05,"b,c",b
random05,"a,c",a
random05,"a,b,c",b
random05,"a,b",a
random05,"b,c",b
random05,"a,c",a
random05,"a,b,c",a
random05,"a,b",a
random05,"b,c",b
random05,"a,c",a
random05,"a,b,c",a
random05,"a,b",a
random05,"b,c",b
random05,"a,c",a
random05,"a,b,c",b
